Timestamp,Diode 1,Didoe 2,Zero,.
1655850806.551953,+23.706,+22.312,+0.5265,+0.5298
1655850807.136506,+23.702,+22.314,+0.5265,+0.5298
1655850807.657197,+23.695,+22.314,+0.5265,+0.5298
1655850808.1777637,+23.692,+22.315,+0.5265,+0.5298
1655850808.7156463,+23.688,+22.315,+0.5265,+0.5298
1655850809.2418332,+23.681,+22.316,+0.5265,+0.5298
1655850809.82538,+23.674,+22.317,+0.5265,+0.5298
1655850810.4000576,+23.672,+22.318,+0.5266,+0.5298
1655850810.9528832,+23.664,+22.320,+0.5266,+0.5298
1655850811.5951335,+23.660,+22.321,+0.5266,+0.5298
1655850812.1856768,+23.656,+22.321,+0.5266,+0.5298
1655850812.7072668,+23.674,+22.319,+0.5265,+0.5298
1655850813.2315247,+23.795,+22.328,+0.5263,+0.5298
1655850813.7511566,+24.007,+22.333,+0.5257,+0.5298
1655850814.2719266,+24.107,+22.345,+0.5255,+0.5297
1655850814.8104756,+24.297,+22.349,+0.5251,+0.5297
1655850815.3445222,+24.392,+22.356,+0.5248,+0.5297
1655850815.9265046,+24.569,+22.368,+0.5244,+0.5297
1655850816.539268,+24.654,+22.380,+0.5242,+0.5297
1655850817.16662,+24.677,+22.386,+0.5241,+0.5296
1655850817.7522383,+24.646,+22.393,+0.5242,+0.5296
1655850818.2723768,+24.632,+22.396,+0.5242,+0.5296
1655850818.7939487,+24.623,+22.398,+0.5243,+0.5296
1655850819.3144722,+24.602,+22.398,+0.5243,+0.5296
1655850819.8385544,+24.591,+22.399,+0.5243,+0.5296
1655850820.3788888,+24.571,+22.399,+0.5244,+0.5296
1655850820.9736097,+24.562,+22.399,+0.5244,+0.5296
1655850821.634204,+24.540,+22.401,+0.5245,+0.5296
1655850822.2386494,+24.528,+22.402,+0.5245,+0.5296
1655850822.806652,+24.508,+22.402,+0.5245,+0.5296
1655850823.4130301,+24.486,+22.403,+0.5246,+0.5296
1655850823.950985,+24.476,+22.403,+0.5246,+0.5296
1655850824.4698563,+24.465,+22.403,+0.5246,+0.5296
1655850824.9874,+24.445,+22.403,+0.5247,+0.5296
1655850825.5050068,+24.434,+22.406,+0.5247,+0.5296
1655850826.0429795,+24.412,+22.407,+0.5248,+0.5296
1655850826.5709019,+24.401,+22.409,+0.5248,+0.5296
1655850827.1502879,+24.381,+22.408,+0.5248,+0.5296
1655850827.764354,+24.371,+22.407,+0.5249,+0.5296
1655850828.334449,+24.350,+22.408,+0.5249,+0.5296
1655850828.8520026,+24.340,+22.407,+0.5249,+0.5296
1655850829.3715143,+24.331,+22.407,+0.5250,+0.5296
1655850829.9035516,+24.312,+22.405,+0.5250,+0.5296
1655850830.4393477,+24.303,+22.407,+0.5250,+0.5296
1655850830.9777257,+24.284,+22.406,+0.5251,+0.5296
1655850831.5494385,+24.273,+22.407,+0.5251,+0.5296
1655850832.1273718,+24.257,+22.405,+0.5251,+0.5296
1655850832.652403,+24.246,+22.407,+0.5252,+0.5296
1655850833.171257,+24.231,+22.408,+0.5252,+0.5296
1655850833.6938446,+24.224,+22.408,+0.5252,+0.5296
1655850834.2171254,+24.214,+22.408,+0.5253,+0.5296
1655850834.7457566,+24.197,+22.409,+0.5253,+0.5296
1655850835.2915246,+24.189,+22.410,+0.5253,+0.5296
1655850835.8545856,+24.173,+22.410,+0.5253,+0.5296
1655850836.373536,+24.167,+22.409,+0.5254,+0.5296
1655850836.8944929,+24.157,+22.410,+0.5254,+0.5296
1655850837.4177504,+24.142,+22.411,+0.5254,+0.5296
1655850837.9407396,+24.135,+22.408,+0.5254,+0.5296
1655850838.4623413,+24.120,+22.408,+0.5255,+0.5296
1655850839.003349,+24.113,+22.409,+0.5255,+0.5296
1655850839.6431906,+24.098,+22.409,+0.5255,+0.5296
1655850840.197186,+24.092,+22.408,+0.5255,+0.5296
1655850840.7811544,+24.078,+22.409,+0.5256,+0.5296
1655850841.3985515,+24.071,+22.408,+0.5256,+0.5296
1655850841.9218123,+24.059,+22.409,+0.5256,+0.5296
