timestamp,t2,t3,v2,v3
1697579863.0238004,+12.490,+19.403,+0.5926,+0.5368
1697579863.5531514,+12.467,+19.382,+0.5927,+0.5369
1697579864.0730145,+12.448,+19.373,+0.5927,+0.5369
1697579864.5909462,+12.426,+19.361,+0.5928,+0.5369
1697579865.1105914,+12.404,+19.351,+0.5928,+0.5369
1697579865.6378326,+12.384,+19.342,+0.5929,+0.5370
1697579866.1646466,+12.362,+19.331,+0.5929,+0.5370
1697579866.684044,+12.340,+19.321,+0.5930,+0.5370
1697579867.2011294,+12.318,+19.309,+0.5930,+0.5370
1697579867.7247684,+12.298,+19.300,+0.5931,+0.5371
1697579868.2492132,+12.276,+19.289,+0.5931,+0.5371
1697579868.7711468,+12.256,+19.278,+0.5932,+0.5371
1697579869.2972856,+12.234,+19.269,+0.5932,+0.5371
1697579869.832718,+12.213,+19.258,+0.5933,+0.5372
1697579870.3497915,+12.191,+19.246,+0.5933,+0.5372
1697579870.880933,+12.170,+19.236,+0.5934,+0.5372
1697579871.4057326,+12.148,+19.226,+0.5935,+0.5372
1697579871.9363286,+12.106,+19.215,+0.5935,+0.5373
1697579872.4994993,+12.084,+19.206,+0.5936,+0.5373
1697579873.0261476,+12.061,+19.195,+0.5936,+0.5373
1697579873.560403,+12.042,+19.173,+0.5936,+0.5374
1697579874.0890894,+12.019,+19.163,+0.5937,+0.5374
1697579874.6166325,+11.997,+19.152,+0.5937,+0.5374
1697579875.1502814,+11.975,+19.141,+0.5938,+0.5374
1697579875.6767724,+11.955,+19.131,+0.5938,+0.5375
1697579876.2077782,+11.933,+19.120,+0.5939,+0.5375
1697579876.7338288,+11.911,+19.109,+0.5939,+0.5375
1697579877.2526565,+11.889,+19.099,+0.5940,+0.5375
1697579877.777354,+11.867,+19.088,+0.5940,+0.5376
1697579878.3013191,+11.845,+19.075,+0.5941,+0.5376
1697579878.820912,+11.825,+19.066,+0.5941,+0.5376
1697579879.3471625,+11.804,+19.054,+0.5942,+0.5376
1697579879.8717208,+11.782,+19.044,+0.5942,+0.5377
1697579880.390026,+11.760,+19.034,+0.5943,+0.5377
1697579880.9111056,+11.738,+19.023,+0.5943,+0.5377
1697579881.4317386,+11.717,+19.012,+0.5944,+0.5377
1697579881.9511268,+11.674,+19.002,+0.5945,+0.5378
1697579882.4696598,+11.650,+18.991,+0.5945,+0.5378
1697579882.98851,+11.629,+18.980,+0.5946,+0.5378
1697579883.5174122,+11.608,+18.968,+0.5946,+0.5378
1697579884.0406597,+11.586,+18.957,+0.5947,+0.5379
1697579884.56013,+11.564,+18.947,+0.5947,+0.5379
1697579885.0773237,+11.542,+18.925,+0.5948,+0.5380
1697579885.600382,+11.521,+18.914,+0.5948,+0.5380
1697579886.1279876,+11.498,+18.903,+0.5949,+0.5380
1697579886.6689732,+11.477,+18.891,+0.5949,+0.5380
1697579887.1988492,+11.456,+18.880,+0.5950,+0.5381
1697579887.7387705,+11.434,+18.869,+0.5950,+0.5381
1697579888.2791603,+11.411,+18.858,+0.5951,+0.5381
1697579888.8161745,+11.389,+18.847,+0.5951,+0.5381
1697579889.3523207,+11.367,+18.836,+0.5952,+0.5382
1697579889.8821096,+11.345,+18.825,+0.5952,+0.5382
1697579890.4263992,+11.322,+18.813,+0.5953,+0.5382
1697579890.9616413,+11.300,+18.802,+0.5954,+0.5382
1697579891.505785,+11.256,+18.791,+0.5954,+0.5383
1697579892.05495,+11.234,+18.781,+0.5955,+0.5383
1697579892.6011293,+11.213,+18.758,+0.5955,+0.5384
1697579893.1323676,+11.191,+18.747,+0.5956,+0.5384
1697579893.6568346,+11.170,+18.736,+0.5956,+0.5384
1697579894.1847997,+11.148,+18.724,+0.5957,+0.5384
1697579894.7011292,+11.125,+18.712,+0.5957,+0.5385
1697579895.2314527,+11.105,+18.701,+0.5958,+0.5385
1697579895.7535834,+11.081,+18.691,+0.5958,+0.5385
1697579896.2716277,+11.058,+18.678,+0.5959,+0.5385
1697579896.7948935,+11.036,+18.668,+0.5960,+0.5386
1697579897.3173769,+11.015,+18.656,+0.5960,+0.5386
1697579897.8422058,+10.991,+18.645,+0.5961,+0.5386
1697579898.3648312,+10.969,+18.634,+0.5961,+0.5386
1697579898.880612,+10.949,+18.621,+0.5962,+0.5387
1697579899.4001577,+10.926,+18.611,+0.5962,+0.5387
1697579899.9174135,+10.905,+18.600,+0.5963,+0.5387
1697579900.4371288,+10.883,+18.588,+0.5963,+0.5388
1697579900.9542506,+10.859,+18.577,+0.5964,+0.5388
1697579901.482081,+10.815,+18.566,+0.5965,+0.5388
1697579902.0020192,+10.792,+18.552,+0.5965,+0.5388
1697579902.5334287,+10.769,+18.543,+0.5966,+0.5389
1697579903.0648837,+10.749,+18.531,+0.5966,+0.5389
1697579903.5960736,+10.726,+18.518,+0.5967,+0.5390
1697579904.1325219,+10.703,+18.495,+0.5967,+0.5390
1697579904.6730392,+10.681,+18.484,+0.5968,+0.5390
1697579905.2011397,+10.659,+18.473,+0.5968,+0.5390
1697579905.7300367,+10.635,+18.460,+0.5969,+0.5391
1697579906.2598042,+10.614,+18.448,+0.5969,+0.5391
1697579906.7897012,+10.592,+18.439,+0.5970,+0.5391
1697579907.315116,+10.570,+18.426,+0.5970,+0.5391
1697579907.8387594,+10.547,+18.413,+0.5971,+0.5392
1697579908.3695557,+10.526,+18.401,+0.5971,+0.5392
1697579908.892422,+10.502,+18.391,+0.5972,+0.5392
1697579909.4135857,+10.481,+18.379,+0.5972,+0.5393
1697579909.931715,+10.458,+18.367,+0.5973,+0.5393
1697579910.4605567,+10.435,+18.356,+0.5973,+0.5393
1697579910.9903328,+10.413,+18.343,+0.5974,+0.5393
1697579911.5123289,+10.368,+18.331,+0.5975,+0.5394
1697579912.0315933,+10.346,+18.320,+0.5975,+0.5394
1697579912.5508494,+10.324,+18.308,+0.5976,+0.5394
1697579913.0710063,+10.301,+18.296,+0.5976,+0.5395
1697579913.5923603,+10.279,+18.285,+0.5977,+0.5395
1697579914.1121857,+10.256,+18.272,+0.5977,+0.5395
1697579914.6377273,+10.234,+18.248,+0.5978,+0.5396
1697579915.1623092,+10.211,+18.239,+0.5978,+0.5396
1697579915.681734,+10.189,+18.225,+0.5979,+0.5396
1697579916.1995552,+10.166,+18.213,+0.5979,+0.5397
1697579916.7180932,+10.144,+18.202,+0.5980,+0.5397
1697579917.2385678,+10.122,+18.189,+0.5980,+0.5397
1697579917.7640479,+10.099,+18.177,+0.5981,+0.5397
1697579918.2875335,+10.076,+18.165,+0.5982,+0.5398
1697579918.8152246,+10.053,+18.154,+0.5982,+0.5398
1697579919.345527,+10.031,+18.141,+0.5983,+0.5398
1697579919.882674,+10.009,+18.129,+0.5983,+0.5399
1697579920.4173646,+09.986,+18.117,+0.5984,+0.5399
1697579920.9430442,+09.964,+18.104,+0.5984,+0.5399
1697579921.4897954,+09.940,+18.093,+0.5985,+0.5399
1697579922.0305529,+09.896,+18.081,+0.5986,+0.5400
1697579922.564368,+09.874,+18.070,+0.5986,+0.5400
1697579923.1088886,+09.851,+18.058,+0.5987,+0.5400
1697579923.6281996,+09.829,+18.046,+0.5987,+0.5401
1697579924.1472085,+09.805,+18.021,+0.5988,+0.5401
1697579924.6695259,+09.783,+18.008,+0.5988,+0.5402
1697579925.188725,+09.760,+17.996,+0.5989,+0.5402
1697579925.7143543,+09.738,+17.984,+0.5989,+0.5402
1697579926.2326622,+09.715,+17.972,+0.5990,+0.5402
1697579926.7533517,+09.691,+17.960,+0.5990,+0.5403
1697579927.27402,+09.670,+17.948,+0.5991,+0.5403
1697579927.7922614,+09.645,+17.936,+0.5991,+0.5403
1697579928.3085623,+09.623,+17.922,+0.5992,+0.5404
1697579928.8259318,+09.601,+17.911,+0.5992,+0.5404
1697579929.3442357,+09.579,+17.898,+0.5993,+0.5404
1697579929.8625052,+09.556,+17.886,+0.5993,+0.5404
1697579930.3863208,+09.532,+17.873,+0.5994,+0.5405
1697579930.9055314,+09.508,+17.860,+0.5995,+0.5405
1697579931.431923,+09.487,+17.848,+0.5995,+0.5405
1697579931.9548078,+09.466,+17.836,+0.5996,+0.5406
1697579932.4706264,+09.441,+17.823,+0.5996,+0.5406
1697579932.993334,+09.417,+17.811,+0.5997,+0.5406
1697579933.5259075,+09.395,+17.798,+0.5997,+0.5407
1697579934.0707927,+09.351,+17.786,+0.5998,+0.5407
1697579934.5954645,+09.327,+17.774,+0.5999,+0.5407
1697579935.1409764,+09.305,+17.761,+0.5999,+0.5407
1697579935.6662633,+09.281,+17.748,+0.6000,+0.5408
1697579936.1881838,+09.260,+17.723,+0.6000,+0.5408
1697579936.7143433,+09.236,+17.712,+0.6001,+0.5409
1697579937.2306364,+09.214,+17.699,+0.6001,+0.5409
1697579937.751987,+09.191,+17.686,+0.6002,+0.5409
1697579938.2774749,+09.167,+17.672,+0.6002,+0.5410
1697579938.7985678,+09.145,+17.660,+0.6003,+0.5410
1697579939.3225513,+09.121,+17.649,+0.6003,+0.5410
1697579939.847114,+09.100,+17.635,+0.6004,+0.5410
1697579940.3643274,+09.076,+17.623,+0.6004,+0.5411
1697579940.8875062,+09.052,+17.611,+0.6005,+0.5411
1697579941.4067254,+09.031,+17.598,+0.6006,+0.5411
1697579941.9226046,+09.007,+17.585,+0.6006,+0.5412
1697579942.4389322,+08.984,+17.572,+0.6007,+0.5412
1697579942.9660249,+08.960,+17.559,+0.6007,+0.5412
1697579943.4989045,+08.937,+17.547,+0.6008,+0.5413
1697579944.022124,+08.915,+17.535,+0.6008,+0.5413
1697579944.5393946,+08.893,+17.522,+0.6009,+0.5413
1697579945.0646062,+08.870,+17.508,+0.6010,+0.5414
1697579945.5917656,+08.821,+17.495,+0.6010,+0.5414
1697579946.126557,+08.799,+17.483,+0.6011,+0.5414
1697579946.6527843,+08.777,+17.470,+0.6011,+0.5414
1697579947.1824749,+08.754,+17.457,+0.6012,+0.5415
1697579947.7227917,+08.730,+17.431,+0.6012,+0.5415
1697579948.2453673,+08.707,+17.419,+0.6013,+0.5416
1697579948.7675729,+08.685,+17.405,+0.6013,+0.5416
1697579949.2937634,+08.660,+17.392,+0.6014,+0.5416
1697579949.8154786,+08.638,+17.380,+0.6015,+0.5417
1697579950.3366232,+08.616,+17.367,+0.6015,+0.5417
1697579950.8578355,+08.591,+17.354,+0.6016,+0.5417
1697579951.3809905,+08.568,+17.341,+0.6016,+0.5418
1697579951.9035032,+08.546,+17.330,+0.6017,+0.5418
1697579952.4243603,+08.523,+17.314,+0.6017,+0.5418
1697579952.9468758,+08.500,+17.303,+0.6018,+0.5418
1697579953.4629893,+08.477,+17.290,+0.6018,+0.5419
1697579953.9903119,+08.453,+17.278,+0.6019,+0.5419
1697579954.509247,+08.430,+17.263,+0.6019,+0.5419
1697579955.0293987,+08.406,+17.251,+0.6020,+0.5420
1697579955.5521715,+08.384,+17.237,+0.6020,+0.5420
1697579956.0774584,+08.360,+17.224,+0.6021,+0.5420
1697579956.6022792,+08.314,+17.211,+0.6022,+0.5421
1697579957.1217842,+08.292,+17.199,+0.6022,+0.5421
1697579957.6439214,+08.268,+17.184,+0.6023,+0.5421
1697579958.1727622,+08.245,+17.173,+0.6024,+0.5422
1697579958.7050834,+08.222,+17.159,+0.6024,+0.5422
1697579959.2399833,+08.199,+17.134,+0.6025,+0.5423
1697579959.775901,+08.174,+17.118,+0.6025,+0.5423
1697579960.3185418,+08.152,+17.106,+0.6026,+0.5423
1697579960.8655782,+08.128,+17.093,+0.6026,+0.5424
1697579961.4124167,+08.105,+17.079,+0.6027,+0.5424
1697579961.9486732,+08.082,+17.066,+0.6027,+0.5424
1697579962.4923508,+08.059,+17.054,+0.6028,+0.5424
1697579963.0283914,+08.036,+17.040,+0.6028,+0.5425
1697579963.5610535,+08.012,+17.027,+0.6029,+0.5425
1697579964.1157305,+07.966,+17.013,+0.6030,+0.5425
1697579964.6486142,+07.942,+17.001,+0.6030,+0.5426
1697579965.1809654,+07.919,+16.986,+0.6031,+0.5426
1697579965.706771,+07.897,+16.974,+0.6032,+0.5426
1697579966.2374492,+07.873,+16.947,+0.6032,+0.5427
1697579966.7602904,+07.851,+16.933,+0.6033,+0.5427
1697579967.2882147,+07.827,+16.920,+0.6033,+0.5428
1697579967.8070402,+07.802,+16.906,+0.6034,+0.5428
1697579968.3391073,+07.780,+16.893,+0.6034,+0.5428
1697579968.8563306,+07.756,+16.878,+0.6035,+0.5429
1697579969.3772736,+07.732,+16.866,+0.6035,+0.5429
1697579969.8966146,+07.709,+16.852,+0.6036,+0.5429
1697579970.4137042,+07.686,+16.841,+0.6036,+0.5430
1697579970.9440997,+07.663,+16.826,+0.6037,+0.5430
1697579971.4675255,+07.640,+16.811,+0.6037,+0.5430
1697579971.9857013,+07.615,+16.799,+0.6038,+0.5431
1697579972.5105524,+07.592,+16.785,+0.6039,+0.5431
1697579973.0272274,+07.569,+16.772,+0.6039,+0.5431
1697579973.54959,+07.546,+16.757,+0.6040,+0.5432
1697579974.0730069,+07.523,+16.744,+0.6040,+0.5432
1697579974.6046727,+07.499,+16.731,+0.6041,+0.5432
1697579975.1275122,+07.452,+16.718,+0.6042,+0.5432
1697579975.6587718,+07.427,+16.705,+0.6042,+0.5433
1697579976.2263486,+07.405,+16.690,+0.6043,+0.5433
1697579976.7621152,+07.382,+16.663,+0.6043,+0.5434
1697579977.300391,+07.357,+16.649,+0.6044,+0.5434
1697579977.8415947,+07.336,+16.635,+0.6044,+0.5434
1697579978.380049,+07.311,+16.622,+0.6045,+0.5435
1697579978.925065,+07.289,+16.609,+0.6045,+0.5435
1697579979.4714003,+07.265,+16.594,+0.6046,+0.5435
1697579979.997865,+07.241,+16.580,+0.6047,+0.5436
